Team,FirstBloodCount,TotalRounds,FBRate, LogoURL
Xrock,31,55,56.36363636363636, ![XROCK Logo](https://liquipedia.net/commons/images/3/38/Xrock_2025_allmode.png)
AG,41,73,56.16438356164384, ![AG Logo](https://liquipedia.net/commons/images/thumb/1/1f/All_Gamers_full_allmode.png/414px-All_Gamers_full_allmode.png)
Soul,48,89,53.93258426966292, ![Soul Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
OUG,24,45,53.333333333333336, ![OUG Logo](https://liquipedia.net/commons/images/thumb/5/55/OU_Gaming_full_allmode.png/382px-OU_Gaming_full_allmode.png)
WL,33,62,53.2258064516129, ![WL Logo](https://liquipedia.net/commons/images/d/db/WL_Esports_allmode.png)
SPG,38,72,52.77777777777778, ![SPG Logo](https://liquipedia.net/commons/images/thumb/b/b4/Stand_Point_Gaming_2022_Lightmode_Logo.png/600px-Stand_Point_Gaming_2022_Lightmode_Logo.png)
Wolves,34,65,52.307692307692314, ![Wolves Logo](https://liquipedia.net/commons/images/thumb/5/57/Wolves_Esports_2022_allmode.png/779px-Wolves_Esports_2022_allmode.png)
Xceed,25,51,49.01960784313725, ![Xceed Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
XLR8,33,71,46.478873239436616, ![XLR8 Logo](https://liquipedia.net/commons/images/d/dd/XLR8_2025_darkmode.png)
Q9,36,82,43.90243902439025, ![Q9 Logo](https://liquipedia.net/commons/images/thumb/b/be/Qing_Jiu_Club_full_darkmode.png/800px-Qing_Jiu_Club_full_darkmode.png)
GodL,22,51,43.13725490196079, ![GodL Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
DVS,40,94,42.5531914893617, ![DVS Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
