Team,FirstBloodRounds,WinRateWithFB,RoundsWithoutFB,WinRateWithoutFB, LogoURL
AG,41,78.04878048780488,32,34.375, ![AG Logo](https://liquipedia.net/commons/images/thumb/1/1f/All_Gamers_full_allmode.png/414px-All_Gamers_full_allmode.png)
DVS,40,62.5,54,29.629629629629626, ![DVS Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
GodL,22,68.18181818181817,29,31.03448275862069, ![GodL Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
OUG,24,54.166666666666664,21,28.57142857142857, ![OUG Logo](https://liquipedia.net/commons/images/thumb/5/55/OU_Gaming_full_allmode.png/382px-OU_Gaming_full_allmode.png)
Q9,36,77.77777777777779,46,43.47826086956522, ![Q9 Logo](https://liquipedia.net/commons/images/thumb/b/be/Qing_Jiu_Club_full_darkmode.png/800px-Qing_Jiu_Club_full_darkmode.png)
SPG,38,63.1578947368421,34,47.05882352941176, ![SPG Logo](https://liquipedia.net/commons/images/thumb/b/b4/Stand_Point_Gaming_2022_Lightmode_Logo.png/600px-Stand_Point_Gaming_2022_Lightmode_Logo.png)
Soul,48,72.91666666666666,41,26.82926829268293, ![Soul Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
WL,33,69.6969696969697,29,34.48275862068966, ![WL Logo](https://liquipedia.net/commons/images/d/db/WL_Esports_allmode.png)
Wolves,34,50.0,31,32.25806451612903, ![Wolves Logo](https://liquipedia.net/commons/images/thumb/5/57/Wolves_Esports_2022_allmode.png/779px-Wolves_Esports_2022_allmode.png)
XLR8,33,78.78787878787878,38,23.684210526315788, ![XLR8 Logo](https://liquipedia.net/commons/images/d/dd/XLR8_2025_darkmode.png)
Xceed,25,64.0,26,23.076923076923077, ![Xceed Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
Xrock,31,70.96774193548387,24,20.833333333333336, ![XROCK Logo](https://liquipedia.net/commons/images/3/38/Xrock_2025_allmode.png)
