Team,TradeCount,AvgTradeTime,TotalRounds,TradeRate, LogoURL
GodL,19,7.847368421052631,51,37.254901960784316, ![GodL Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
DVS,29,11.831034482758621,94,30.851063829787233, ![DVS Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
SPG,22,7.7,72,30.555555555555557, ![SPG Logo](https://liquipedia.net/commons/images/thumb/b/b4/Stand_Point_Gaming_2022_Lightmode_Logo.png/600px-Stand_Point_Gaming_2022_Lightmode_Logo.png)
Xceed,14,11.428571428571429,51,27.450980392156865, ![Xceed Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
Xrock,15,17.153333333333332,55,27.27272727272727, ![XROCK Logo](https://liquipedia.net/commons/images/3/38/Xrock_2025_allmode.png)
AG,19,6.021052631578947,73,26.027397260273972, ![AG Logo](https://liquipedia.net/commons/images/thumb/1/1f/All_Gamers_full_allmode.png/414px-All_Gamers_full_allmode.png)
WL,16,9.8125,62,25.806451612903224, ![WL Logo](https://liquipedia.net/commons/images/d/db/WL_Esports_allmode.png)
Q9,21,13.109523809523811,82,25.609756097560975, ![Q9 Logo](https://liquipedia.net/commons/images/thumb/b/be/Qing_Jiu_Club_full_darkmode.png/800px-Qing_Jiu_Club_full_darkmode.png)
XLR8,16,9.0625,71,22.535211267605636, ![XLR8 Logo](https://liquipedia.net/commons/images/d/dd/XLR8_2025_darkmode.png)
Wolves,12,7.583333333333333,65,18.461538461538463, ![Wolves Logo](https://liquipedia.net/commons/images/thumb/5/57/Wolves_Esports_2022_allmode.png/779px-Wolves_Esports_2022_allmode.png)
Soul,16,4.4375,89,17.97752808988764, ![Soul Logo](https://liquipedia.net/commons/images/thumb/2/24/GodLike_2021_allmode.png/460px-GodLike_2021_allmode.png)
OUG,8,5.75,45,17.77777777777778, ![OUG Logo](https://liquipedia.net/commons/images/thumb/5/55/OU_Gaming_full_allmode.png/382px-OU_Gaming_full_allmode.png)
