Map,Team,TicksCaptured,OffenseRounds,AvgTicksPerOffRound,TicksAllowed,DefenseRounds,AvgTicksAllowedPerDefRound
Crossfire,XROCK,52,14,3.7142857142857144,56,15,3.7333333333333334
Crossfire,DVS,26,6,4.333333333333333,13,4,3.25
Crossfire,Q9,26,6,4.333333333333333,20,7,2.857142857142857
Crossfire,GodL,20,5,4.0,20,5,4.0
Crossfire,OUG,18,5,3.6,16,5,3.2
Crossfire,SPG,17,5,3.4,15,4,3.75
Crossfire,Wolves,14,5,2.8,13,4,3.25
Crossfire,Xceed,8,2,4.0,14,3,4.666666666666667
Crossfire,WL,6,3,2.0,13,3,4.333333333333333
Crossfire,XLR8,5,2,2.5,12,3,4.0
Raid,Soul,24,7,3.4285714285714284,20,7,2.857142857142857
Raid,AG,12,4,3.0,10,3,3.3333333333333335
Raid,OUG,11,3,3.6666666666666665,4,2,2.0
Raid,GodL,9,2,4.5,1,2,0.5
Raid,DVS,8,3,2.6666666666666665,14,4,3.5
Raid,SPG,5,4,1.25,20,5,4.0
Takeoff,Q9,33,13,2.5384615384615383,26,12,2.1666666666666665
Takeoff,GodL,23,8,2.875,21,9,2.3333333333333335
Takeoff,OUG,21,5,4.2,5,5,1.0
Takeoff,Wolves,19,11,1.7272727272727273,28,10,2.8
Takeoff,SPG,7,5,1.4,16,5,3.2
Takeoff,XLR8,1,2,0.5,8,3,2.6666666666666665
