Team,TicksCaptured,OffenseRounds,AvgTicksPerOffRound,TicksAllowed,DefenseRounds,AvgTicksAllowedPerDefRound
Q9,59,19,3.1052631578947367,46,19,2.4210526315789473
GodL,52,15,3.466666666666667,42,16,2.625
XROCK,52,14,3.7142857142857144,56,15,3.7333333333333334
OUG,50,13,3.8461538461538463,25,12,2.0833333333333335
DVS,34,9,3.7777777777777777,27,8,3.375
Wolves,33,16,2.0625,41,14,2.9285714285714284
SPG,29,14,2.0714285714285716,51,14,3.642857142857143
Soul,24,7,3.4285714285714284,20,7,2.857142857142857
AG,12,4,3.0,10,3,3.3333333333333335
Xceed,8,2,4.0,14,3,4.666666666666667
WL,6,3,2.0,13,3,4.333333333333333
XLR8,6,4,1.5,20,6,3.3333333333333335
