DominantTeam,ZeroScoreTeam,Map,Hill,ZeroScoreDuration
Wolves,OUG,Apocalypse,P4,58
XROCK,Q9,Summit,P4,57
Wolves,Q9,Slums,P2,56
OUG,Q9,Apocalypse,P2,55
SPG,XROCK,Summit,P3,53
GodL,OUG,Combine,P4,52
GodL,XROCK,Hacienda,P3,52
OUG,SPG,Hacienda,P4,51
OUG,XROCK,Hacienda,P3,49
GodL,SPG,Summit,P2,45
Wolves,OUG,Summit,P2,45
OUG,SPG,Apocalypse,P4,41
SPG,XROCK,Slums,P1,41
OUG,SPG,Apocalypse,P1,40
OUG,XROCK,Apocalypse,P1,38
Wolves,XROCK,Slums,P1,38
XROCK,OUG,Combine,P1,37
Wolves,Q9,Combine,P1,17
OUG,XROCK,Combine,P2,14
Q9,SPG,Summit,P2,10
XROCK,SPG,Summit,P3,9
Wolves,SPG,Summit,P4,8
OUG,XROCK,Hacienda,P2,7
GodL,SPG,Summit,P1,5
Wolves,Q9,Slums,P4,3
SPG,Wolves,Apocalypse,P2,2
SPG,XROCK,Hacienda,P1,1
