Team,RotationWin,BreakSuccess,AvgHoldDuration (s),AvgBreakDuration (s),ScrapPoints,TopHill,TopHillAvgPts,RotBreakDist,ControlSharePct
Soul,55.55555555555556,50.0,15.222222222222221,17.0,82,Combine P3,44.0,66.8977476599572,34.29824561403509
OUG,43.24324324324324,45.16129032258064,15.945945945945946,13.774193548387096,229,Summit P3,35.5,78.92156559920706,30.64950980392157
Wolves,40.54054054054054,45.94594594594595,13.891891891891891,15.54054054054054,340,Slums P2,47.5,80.3571283638838,32.398648648648646
GodL,48.64864864864865,33.33333333333333,16.216216216216218,12.636363636363637,257,Combine P4,40.0,84.15108870391624,30.416666666666664
Q9,41.02564102564102,33.33333333333333,12.794871794871796,10.822222222222223,323,Hacienda P3,38.0,89.00797414210146,26.28968253968254
XROCK,39.473684210526315,23.636363636363637,14.605263157894736,8.381818181818181,285,Summit P3,37.75,97.44146890171955,23.49462365591398
SPG,31.818181818181817,20.0,10.954545454545455,10.733333333333333,190,Slums P1,34.0,105.11308353662979,22.66891891891892
DVS,46.666666666666664,7.6923076923076925,19.333333333333332,4.6923076923076925,76,Combine P4,38.0,106.60747864768233,25.416666666666664
WL,22.22222222222222,22.22222222222222,6.222222222222222,9.11111111111111,35,Summit P4,26.5,109.99438818457405,16.11111111111111
AG,50.0,0.0,11.833333333333334,3.0,29,Combine P2,26.0,111.80339887498948,19.0
Xceed,40.0,0.0,12.6,3.5,30,Summit P1,24.333333333333332,116.61903789690601,19.814814814814817
XLR8,25.0,7.6923076923076925,13.125,5.6923076923076925,68,Combine P3,37.0,118.93573920050943,19.603174603174605
