Team,RotationWin,BreakSuccess,ScrapPoints,ControlSharePct,AvgScoreDiff
Wolves,42.5,47.61904761904761,388,33.790650406504064,44.85714285714286
Soul,40.0,46.666666666666664,101,31.833333333333336,59.333333333333336
OUG,40.0,45.23809523809524,366,30.970790378006875,28.77777777777777
GodL,45.23809523809524,35.8974358974359,315,30.895061728395063,58.75
Q9,42.22222222222222,28.07017543859649,378,25.45751633986928,-15.599999999999994
XROCK,41.46341463414634,20.967741935483872,297,22.60517799352751,-44.2
DVS,46.666666666666664,7.6923076923076925,76,25.416666666666664,-12.5
SPG,27.86885245901639,19.047619047619047,254,21.448220064724918,-22.035714285714292
WL,22.22222222222222,22.22222222222222,35,16.11111111111111,-123.5
AG,50.0,0.0,29,19.0,-75.0
Xceed,40.0,0.0,30,19.814814814814817,-89.0
XLR8,25.0,7.6923076923076925,68,19.603174603174605,-72.0
